date,key,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,income_support,debt_relief,fiscal_measures,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,pos_rate
2021-01-20,US_PA,2,1,1,2,0,1,2,1,1,0,3,2,0,0,3,3,0.11096276516837264
2021-01-20,US_RI,1,2,1,4,0,1,2,1,2,NA,3,2,NA,NA,3,2,0.0509177772190093
2021-01-20,US_SC,2,1,1,2,0,1,1,1,1,0,3,2,0,0,3,2,0.10909270411689209
2021-01-20,US_SD,1,1,1,0,0,1,1,1,1,0,2,1,NA,NA,2,2,0.24340949033391915
2021-01-20,US_TN,2,2,1,4,1,1,1,1,1,0,3,1,0,0,3,2,0.20422759783153388
2021-01-20,US_TX,2,2,2,4,0,1,1,1,1,NA,1,1,NA,NA,3,3,0.2216792442124376
2021-01-20,US_UT,2,1,1,0,0,1,1,1,1,0,2,1,0,0,2,2,0.1716352651244137
2021-01-20,US_VA,2,1,2,4,0,2,1,1,2,0,3,2,0,0,3,3,0.2157809214299369
2021-01-20,US_VT,2,2,2,4,0,1,2,2,2,NA,3,2,NA,NA,3,2,0.029291154071470416
2021-01-20,US_WA,2,2,2,4,1,1,1,1,2,0,2,1,0,0,3,2,0.06448568732305757
2021-01-20,US_WI,2,1,1,4,1,1,1,1,1,0,3,1,0,0,3,2,0.06422177503296093
2021-01-20,US_WV,2,1,2,3,0,1,1,1,1,0,3,2,0,0,3,3,0.08318773053775966
2021-01-20,US_WY,1,1,1,4,2,1,1,1,1,NA,3,1,NA,NA,2,3,0.04577384998866984
2021-01-21,US_AK,2,1,2,4,0,1,2,1,1,0,3,1,0,0,3,2,0.03884491351509821
2021-01-21,US_AL,2,1,1,0,1,1,1,1,1,0,3,1,0,0,3,2,0.3797284829313299
2021-01-21,US_AR,2,2,1,4,1,1,1,1,1,NA,3,2,NA,NA,3,3,0.23817191933133963
2021-01-21,US_AZ,2,2,2,3,0,1,1,1,1,0,3,2,0,0,3,2,0.1346360471612968
2021-01-21,US_CA,3,2,2,4,0,2,2,2,2,0,3,1,0,0,3,2,0.10260569625612208
2021-01-21,US_CO,2,1,2,4,1,2,1,1,2,NA,2,1,NA,NA,3,2,0.04748563218390805
2021-01-21,US_CT,2,2,1,4,1,1,2,1,2,NA,3,2,NA,NA,3,2,0.040129418582190456
2021-01-21,US_DC,1,3,2,3,0,1,2,1,2,NA,3,2,NA,NA,3,3,0.04091607317413769
