date,key,workplace_closing,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,pos_rate
2020-10-07,US_MO,1,3,0,1,1,3,0,1,2,2,1,3,9.007337437800455
2020-10-07,US_MT,1,3,0,2,1,3,0,1,2,3,2,3,20.71759259259259
2020-10-07,US_NC,2,3,1,1,1,3,1,2,2,2,1,4,10.13145428706774
2020-10-07,US_ND,1,2,0,1,1,3,0,1,2,2,2,1,7.850048061518744
2020-10-07,US_NE,1,1,1,1,1,3,1,1,2,2,2,2,4.361916440395901
2020-10-07,US_NH,1,0,0,1,1,3,0,1,2,3,2,2,0.9688289806234204
2020-10-07,US_NJ,2,3,0,1,1,3,1,2,2,3,2,3,2.668388207445664
2020-10-07,US_NM,2,4,2,1,2,3,1,1,2,3,1,3,9.692132269099202
2020-10-07,US_NV,1,2,0,1,1,3,1,1,2,2,1,3,3.9089424995465265
2020-10-07,US_NY,2,3,1,1,2,3,2,2,2,3,2,3,1.25639746503335
2020-10-07,US_OH,1,4,0,1,1,3,1,1,2,3,2,3,5.265882700983655
2020-10-07,US_OK,1,2,0,1,1,3,0,1,2,3,1,3,9.524711228933914
2020-10-07,US_OR,2,4,0,1,1,3,1,2,2,2,2,3,3.3923991606435067
2020-10-07,US_PA,1,3,0,1,1,3,1,1,2,3,2,4,3.034517931242321
2020-10-07,US_RI,2,3,0,1,2,3,2,2,2,3,2,3,1.719526175009553
2020-10-07,US_SC,1,4,0,1,1,3,1,1,2,3,2,3,9.85254691689008
2020-10-07,US_SD,1,0,0,1,1,3,0,1,2,2,1,2,32.50236667718523
2020-10-07,US_TN,1,3,1,1,1,3,0,1,2,3,1,3,9.470473068342212
2020-10-07,US_TX,2,4,0,1,1,3,0,1,2,2,1,3,5.510397665085735
2020-10-07,US_UT,1,3,0,1,1,3,0,1,2,2,2,3,8.262225139481457
2020-10-07,US_VA,1,3,0,1,1,3,1,1,2,3,2,2,3.152678847940539
2020-10-07,US_VT,1,3,0,1,2,3,2,2,2,3,2,3,0.5303030303030303
2020-10-07,US_WA,2,4,1,1,1,3,1,2,2,2,1,3,9.378881987577639
2020-10-07,US_WI,1,4,1,1,1,3,1,1,2,3,2,3,9.006801726029401
2020-10-07,US_WV,1,3,0,1,1,3,1,1,2,3,2,2,5.364693446088795
2020-10-07,US_WY,1,2,2,1,1,3,0,1,2,2,2,2,3.075089392133492
2020-10-08,US_AK,1,3,0,1,2,3,1,2,2,3,2,3,2.7533859205238875
2020-10-08,US_AL,1,0,0,1,1,3,1,1,2,3,2,3,14.311408016443988
2020-10-08,US_AR,2,3,1,1,1,3,1,1,2,3,2,3,9.05511811023622
2020-10-08,US_AZ,2,3,0,1,1,3,2,1,2,3,2,3,3.760676311661147
2020-10-08,US_CA,2,4,0,1,1,3,2,2,2,3,2,3,5.687642900907094
2020-10-08,US_CO,2,4,1,1,1,3,1,2,2,2,2,2,4.566862464941525
2020-10-08,US_CT,2,3,1,1,2,3,1,2,2,3,2,3,1.233180256270272
2020-10-08,US_DC,2,3,0,1,2,3,0,2,2,2,2,3,1.875
2020-10-08,US_DE,2,2,0,1,1,3,1,2,2,3,2,3,8.761160714285714
2020-10-08,US_FL,1,0,1,2,1,3,0,1,2,2,1,3,4.096007617873997
2020-10-08,US_GA,1,3,0,2,1,3,0,2,2,3,1,2,5.073393759525146
2020-10-08,US_HI,2,4,1,2,2,3,1,2,2,2,2,3,3.007518796992481
2020-10-08,US_IA,1,0,0,1,1,3,2,2,2,2,1,3,18.06590257879656
2020-10-08,US_ID,2,4,0,1,2,3,0,1,2,2,1,2,26.47987371744278
2020-10-08,US_IL,1,3,0,1,2,3,1,1,2,3,1,4,4.2198341863127835
2020-10-08,US_IN,1,0,0,1,1,3,1,1,2,3,2,3,4.853069147867997
2020-10-08,US_KY,1,4,2,1,1,3,0,2,2,3,2,3,4.501607717041801
2020-10-08,US_LA,2,3,1,1,1,3,1,1,2,2,1,3,4.260162601626016
2020-10-08,US_MA,2,3,1,1,1,3,0,1,2,3,2,4,0.700481186400568
2020-10-08,US_MD,1,3,0,1,1,3,0,2,2,2,2,3,2.6220583675016367
2020-10-08,US_ME,2,3,1,1,2,3,1,1,2,3,2,2,0.5196733481811433
2020-10-08,US_MI,1,3,1,1,1,3,1,1,2,3,1,3,3.326605722426689
2020-10-08,US_MN,1,3,0,1,1,3,1,1,2,3,1,2,4.489262503532071
2020-10-08,US_MO,1,3,0,1,1,3,0,1,2,2,1,3,7.190979024320321
2020-10-08,US_MT,1,3,0,2,1,3,0,1,2,3,2,3,11.186008380397158
2020-10-08,US_NC,2,3,1,1,1,3,1,2,2,2,1,4,7.2633720234533925
2020-10-08,US_ND,1,2,0,1,1,3,0,1,2,2,2,1,7.974992375724306
2020-10-08,US_NE,1,1,1,1,1,3,1,1,2,2,2,2,5.041817894902951
2020-10-08,US_NH,1,0,0,1,1,3,0,1,2,3,2,2,1.39186295503212
2020-10-08,US_NJ,2,3,0,1,1,3,1,2,2,3,2,3,2.3158550786439456
2020-10-08,US_NM,2,4,2,1,2,3,1,1,2,3,1,3,4.451657778808254
2020-10-08,US_NV,1,2,0,1,1,3,1,1,2,2,1,3,5.998500374906273
2020-10-08,US_NY,3,4,1,1,2,3,2,2,2,3,2,3,1.2591642605839066
2020-10-08,US_OH,1,4,0,1,1,3,1,1,2,3,2,3,4.587867044268893
2020-10-08,US_OK,1,2,0,1,1,3,0,1,2,3,1,3,8.507054116656137
2020-10-08,US_OR,2,4,0,1,1,3,1,2,2,2,2,3,2.990844354018311
2020-10-08,US_PA,1,3,0,1,1,3,1,1,2,3,2,4,3.95925648846176
2020-10-08,US_RI,2,3,0,1,2,3,2,2,2,3,2,3,1.284193440588151
2020-10-08,US_SC,1,4,0,1,1,3,1,1,2,3,2,3,5.23873671606047
2020-10-08,US_SD,1,0,0,1,1,3,0,1,2,2,1,2,10.49023680930619
2020-10-08,US_TN,1,3,1,1,1,3,0,1,2,3,1,3,7.373408350607048
2020-10-08,US_TX,2,4,0,1,1,3,0,1,2,2,1,3,5.807995581873408
2020-10-08,US_UT,1,3,0,1,1,3,0,1,2,2,2,3,12.003198720511795
2020-10-08,US_VA,1,3,0,1,1,3,1,1,2,3,2,2,9.466605061861491
2020-10-08,US_VT,1,3,0,1,2,3,2,2,2,3,2,3,0.19730941704035873
2020-10-08,US_WA,2,4,1,1,1,3,1,2,2,2,1,3,2.737599394168875
2020-10-08,US_WI,1,4,1,1,1,3,1,1,2,3,2,3,10.761594846004668
2020-10-08,US_WV,1,3,0,1,1,3,1,1,2,3,2,2,2.9222309505106048
2020-10-08,US_WY,1,2,2,1,1,3,0,1,2,2,2,2,5.811502559470039
2020-10-09,US_AK,1,3,0,1,2,3,1,2,2,3,2,3,3.096929883362381
2020-10-09,US_AL,1,0,0,1,1,3,1,1,2,3,2,3,12.689490717083972
2020-10-09,US_AZ,2,3,0,1,1,3,2,1,2,3,2,3,3.2342077848281088
2020-10-09,US_CA,2,3,0,1,1,3,2,2,2,3,2,3,3.694384889345642
2020-10-09,US_CO,2,4,1,1,1,3,1,2,2,2,2,2,3.7473040977713876
2020-10-09,US_CT,2,3,1,1,2,3,1,2,2,3,2,3,1.0520587701795756
2020-10-09,US_DC,2,3,0,1,2,3,0,2,2,2,2,3,1.3865779256794233
2020-10-09,US_DE,2,2,0,1,1,3,1,2,2,3,2,3,10.273972602739725
2020-10-09,US_FL,1,0,1,2,1,3,0,1,2,2,1,3,2.620545073375262
2020-10-09,US_GA,1,3,0,2,1,3,0,2,2,3,1,2,5.508848057495423
2020-10-09,US_HI,2,4,1,2,2,3,1,2,2,2,2,3,2.58775301050474
2020-10-09,US_IA,1,0,0,1,1,3,2,2,2,2,1,3,18.077723802914644
2020-10-09,US_ID,2,4,0,1,2,3,0,1,2,2,1,2,27.346607070296628
2020-10-09,US_IL,1,3,0,1,2,3,1,1,2,3,1,4,4.353412757161413
2020-10-09,US_IN,1,0,0,1,1,3,1,1,2,3,2,3,5.95937387195222
2020-10-09,US_KS,1,3,1,1,1,3,1,1,2,3,1,3,17.190251135205262
2020-10-09,US_KY,1,4,2,1,1,3,0,2,2,3,2,3,4.060687193217314
2020-10-09,US_LA,2,3,1,1,1,3,1,1,2,2,1,3,2.603322528363047
2020-10-09,US_MA,2,3,1,1,1,3,0,1,2,3,2,4,1.2767448846757234
2020-10-09,US_MD,1,3,0,1,1,3,0,2,2,2,2,3,2.706489675516224
2020-10-09,US_ME,2,3,1,1,2,3,1,1,2,3,2,2,0.33320992225101814
2020-10-09,US_MI,1,3,1,1,1,3,1,1,2,3,1,3,3.0415191503057613
2020-10-09,US_MN,1,3,0,1,1,3,1,1,2,3,1,2,4.347690094147821
